,문장
1623,내가 문재인하고 이낙연에게 느낀 배신감 생각하면
1624,두놈이 한팀이니 윤석열이 온갖 병크짓 해도 좌파 촛불 단체들이 아갈묵념 하고 있지 ㅋㅋ
1625,돈왕창 먹였나 부다~!
1626,이번 총선에서 검찰당이 승리하거나 120석이상 가져가면  해외로 탈출하는게 좋을꺼야.  중공군이 쳐들어와서 다 총알받이 뒈질테니.
1627,ㄴ ㅋㅋㅋㅋㅋㅋ  - dc App
1628,대통령이 문죄앙 검찰총장이고 지금은 문죄앙 정권 8년차 당연히망하지
1629,망해도 그냥 망한 수준이 아님
1630,이미 문재앙때 망했는데 문가놈 충견 윤두창이가 보수 대표로 나와가지고 지 주인 방패막이 하면서 보수 전멸하게 계속 트롤짓 하고있는거임 근데 누구 탓도 못하는게 보수 지지자들이 뇌 없는 틀딱 병신들이라 깨닫지도 못하고 뒤져가는거임ㅇㅇ
1631,씹 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1632,맞는말이네 좋은 프로그램
1633,정권심판론 ㅇㅈ
1634,변뚱은 껒
1635,석사장교 새끼.
1636,ㅇㅇ
1637,윤두창 좆됨
1638,ㅋㅋ
1639,두창견들 유럽 복지 선진국가 스웨덴 빨갱이 타령 조만간 나올거임 ㅋㅋ
1640,ㅇㅇ
1641,연구결과 보긴했냐 ㅋㅋㅋ
1642,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1643,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1644,ㅋㅋㅋㅋㅋ
1645,ㅋㅋㅋㅋ
1646,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1647,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1648,ㅋㅋㅋㅋㅋ
1649,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1650,ㅋㅋㅋㅋㅋㅋㅋㅋ
1651,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1652,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1653,ㅋㅋㅋㅋㅋㅋ
1654,한동훈이 저런 말을 할 줄이야.뒤통수 치는거냐? 책임 전가하는거냐?ㅋㅋㅋ  - dc App
1655,"한동훈은 윤석열에게,김건희 주가조작 특검이나 받으라고 직언해야 양심적인거지.  - dc App"
1656,"원래 조직이나 그룹이 망할때의 전형이, 저런식으로 사람들의 주둥이가 관리가 안됨.  아무얘기나 막 나오기 시작하고, 서로 책임전가만 하게 됨."
1657,성괴나 내보내
1658,좆망한건 잘알고 있나보네
1659,총선때 불지옥이 뭔지 제대로 맛보게 될거다
1660,경제를 이렇게 개판 쳐놨으니 당연한 결과야 경제 현장에 있는 사람들이 가만 안놔두겠다는데아무리 외쳐봐야 들리지도 않거든 공약은 안 지키는거이미 봐왔고 아무리 민주당이 병신이라고 해도윤석열당보단 아니라는게 결론임
1661,이래서 세상은 재밌어 ㅋㅋ
1662,생각해보면 지금 정치판에서 제일 큰 변수를 만들어낼수 있는건 조국신당이네
1663,"그전에 조국은 감방 갈거 같은데,  두번이나 2년 징역형 받았잖아, 그것도  항소했는데  법원이 징역 2년 때림 ㅋㅋㅋ"
1664,한븅신
1665,병신새끼
1666,그럴가능성 있음 이준석도 수상한 놈
1667,변희재는 팩폭은 잘하지.   - dc App
1668,ㄹㅇ ㅋㅋ
1669,ㅇㅇ
1670,추천 주신분들 ㄱㅅㄱㅅ
1671,제네 온가족이 작년 11월에 천주교 가입/구독 했는데좀 수상하지?(예수회 문재인 후임?)
1672,"쪼국  재판에서  두번이나 유죄판결,  얼른 감옥가자."
1673,사이비 교주냐? 물위도 걷지 그러냐? ㅋㅋㅋ
1674,빵에가서 운동하면 더 쎄질듯 ㅋㅋㅋ  - dc App
1675,키 존나 큼
1676,지금이라도 조국이 검사해서 윤석열 한동훈 탈탈 털면 안되나
1677,퍼가도 됨?
1678,중독되는데? ㅋ 계속보게됨
1679,고맙다 찰스형! - dc App
1680,안철수 아직도 현역이야? 지난번에 국힘에서 잘린 거 아니었나? 초딩 안철수 오래가네
1681,목소리만 들어도 짜증나는 인간.
1682,"좌빨들은  거짓, 조작, 괴담, 선동, 데모질 빼면 시체"
1683,말이 보수 과표집 사실상 여론조사 조작
1684,ㅋㅋㅋㅋㅋ 그 공장꺼를 들고오넼ㅋㅋㅋㅋㅋ 아직도 그 공장에서만 사냐
1685,말이 과표집이지 지지율 조작임
1686,전청조총련 왕진진보
1687,우리 국회에서 만납시다.
1688,미친년 저날 도봉구 첨 간듯..ㅋㅋㅋ
1689,전여옥이나 빨어라 2찍 일베새끼들아
1690,"한동훈 본색을 드러내는게 아니고,  이렇게 해서 욕받이로 쓰려던거 이제 시간이 된거지."
1691,박그네 뒤에 있는 거 같다~!!김명X도 뒤에 있고~!!!!!한씨가 그냥 될대로 되란식으로 하는 거 같은데~!!특히 박그네 박그네 잇는 거 아닌가~!
1692,윤석열 한동훈은 원래 한몸이야 그 배후가 중앙 홍석현이고 이명박도 공범
1693,친일본색?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1694,재팬 게이트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1695,"====5·18 헌법 수록 추진본부 9월 발족 ""여야 협력""KBC광주방송 -2023. 8. 15. — 5·18 정신을 헌법 전문에 수록하기 위한 개헌 준비가 여야 의원들의 참여로 속도를 내고 있습니다. 국민의힘 하태경, 성일종 의원이 추진본부 상임대표직 ...===='5·18 헌법 수록 추진본부' 9월 발족…개헌 준비에 '탄력' - SBS 뉴스SBS 뉴스2023. 8. 17. — 5·18 정신을 헌법 전문에 수록하기 위한 개헌 준비가 여야 의원들의 참여로 속도를 내고 있습니다. 국민의힘 하태경, 성일종 의원이 추진본부 상임 ..."
1696,안중근의 거사명분인 동양평화와 한일우호
1697,매국노들이 의료개혁이라고 사기치니
1698,자가당착 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1699,내로남불ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1700,사이다
1701,징역 2년 받은 넘이 주둥이만 살아서 ㅋㅋㅋㅋㅋ
1702,ㅋㅋㅋㅋㅋㅋㅋ
1703,"저거 몇주 전거고, 송파도 먹음"
1704,ㄴ ㅋㅋㅋ  - dc App
1705,여론조사(선관위가 전국민을 대상으로 실시하는 직접참여 여론조사)의 열매(당선자선출)인 선거
1706,절라도 밀집 지역
1707,필승 민주당
1708,당연한 결과지 ㅋㅋㅋㅋㅋ
1709,■■■ 김거늬 보지 수술 부작용 보행불가 ㅋㅋㅋㅋ■■■
1710,ㄹㅇ
1711,개딸들 다 몰려갔구나ㅋ
1712,세기와더불어우리북한당 & 혁명조국당....남로당의후예 재한조총련의 혁명조국인 조선노예주의노비공화국 똥돼지핼조선
1713,이거 큰일이군~!!!!민주당은 쫄딱망한다~!!!!!!
1714,이재명과 조국이 심판?코메디도 정도껏 해야지.ㅉㅉ  - dc App
1715,여시 조선족들이잖아
1716,일베 일본 찬양 꼴통 보수 새끼들 몰려왔네 ㅋㅋ
1717,"MBC 여조가 의미있는 이유는 고정패널을 대상으로 하는 조사임. 같은 사람들에게 이슈,시간별로 마음의 변화를 체크하는데 포커싱 되어있는 여조. 민심의 흐름을 제대로 알수 있음"
1718,제발 보수 과표집된 여조에 좀 흔들리지 마라.ㅋㅋㅋㅋㅋㅋ
1719,방심하지말고 더 박차를 가해서 200석 달성하자 목표 크게 잡아야 성과도 큼 부정선거 관리 감시 철저
1720,kbs에서는 서울에서  국힘이 훨 높게 나왔던데?
1721,헤경궁실 제조상궁이 아녓다는 건가
1722,그나저나 순천지역구니 남로당 빨갱이반란군이 피바다혁명 킬링필드를 건설한 여순반란에 대한 입장이나 내놔보길
1723,개쓰레기 새끼들 총선 대승리하고 정권 교체하고 확쓸어내야함
1724,저거 일본 지도냐 ㅋㅋ
1725,남로당과 후예 재한조총련 반역매국노들은 대한민국 국립묘지서 파묘해 똥돼지네 혁명열사릉으로
1726,ㄹㅇ
1727,공수처 수사대상을 해외대사로 임명한다?ㅋㅋㅋㅋㅋ
1728,범죄 피의자 도주를 돕는 것도 범죄 아닌가?
1729,엄청난 사건의 피의자 인데 출국금지 시켜야 하는거 아닌가?
1730,이런 윤두창 국짐 빠는 20대들은 정신나갔지 징집군인 취급을 이렇게 개차반으로 보고있는데
1731,지가 얽혔으니핵심 증인 빼돌리기는..그리고 지금은 치외법권(그들의 자유 위한) 좃헌민국이 맞다김건희 방탄까지 불법 남발은 누가 하는지
1732,이재명 짱
1733,레밍조총련 세기와더불어우리북한당 수석레밍 레명이와 레밍증후군 자살들쥐떼
1734,황교안이 동원된 구름인파 지랄하다 이낙연한테 처발렸지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1735,저장해놨다가 개표날 올려주지..ㅋㅋㅋ
1736,김어준 무당이 여론조사래 ㅋㅋㅋㅋ
1737,서울 영등포 을은 조사가 튀었다고 함
1738,여론조사의 꽃 이름부터 좃같네 이건뭐 초딩이 이름지었냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1739,최소 보이스피싱 500이상 당한 놈들이나 이런거 믿지
1740,부정선거감시만 철자하게 하자
1741,이낙연 박지현 계통?
1742,"대선 때 골판지들고 선거운동 희화화시키고, 방송나가서 김건희 녹취록 피곤하다 그만하자는 청년정치 호소인 아닌가?ㅋㅋㅋㅋㅋ"
1743,신나게 내부총질 할 젊은 조정훈?ㅋㅋㅋㅋ
1744,ㄹㅇ
1745,이준석 자기 논란 때문에 팽 당한걸 아직 모르네
1746,이준석이 정확하게 예측하고 있는데
1747,선거끝나고 이놈 ㅅㅈ 하는게 아닌가싶음... 진짜 정신병자 같아  - dc App
1748,ㅋㅋㅋㅋㅋ
1749,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1750,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1751,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1752,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1753,ㅋㅋㅋㅋㅋㅋ
1754,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1755,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1756,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1757,ㅋㅋㅋㅋㅋㅋ
1758,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1759,ㅋㅋㅋㅋㅋㅋ
1760,ㅋㅋㅋㅋㅋㅋㅋㅋ
1761,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1762,병신
1763,정잘알 정규재
1764,이재명 이땅에서 유대 자본 다 쓸어내자
1765,널리 널리 퍼뜨려주시길
1766,조용히 태울뿐
1767,역시 정규재가 보는 눈이 있네
1768,정규재가 윤빠들한테 일침 가했네 ㅋㅋ
1769,정잘알 정규재
1770,변희재 말마따나 정규재 윤창중 같이 진심으로 이재명 정치천재라고 빠는 놈들은 미친 놈들이지
1771,이재명 수행비서 안농운ㅋㅋㅋㅋㅋ
1772,턱주가리 보소 ㄷㄷ
1773,한가발 개스끼 눈깔 날리고 싶네
1774,한동훈 찢 1대1토론 ㅋㅋㅋㅋㅋ 찢 빤쓰런함 ㅋㅋㅋㅋ
1775,재한조총련 부정선관위가 5일이내 2차례 실시하는 사전여론조사와 당일여론조사의 지지율을 보길...지지율이 2배 차이나는 조작여론조사
1776,"제국주의 일제의 식민지 시절의 3.1운동정신은, 대한민국을 남침전쟁서 지켜준 자유민주주의우방국 일본과 안보동맹으로 승화시켜야"
1777,===='일본 없었다면 대한민국 공산화 됐다?'...6.25전쟁의 아이러니 ...mk.co.kr2023. 1. 22. — Q. 과거 냉전은 6.25를 거치며 가속화 됐다. 그런데 알고보면 일본이 6.25에 매우 깊이 관여했다던데?
1778,딱 봐도의도적이네 - dc App
1779,돼일성의 남침전쟁 유도유치 할려고 미군철수를 부르짖은 김구 & 돼정은의 남침전쟁 유도유치 할려고 반미반일선동에 미군철수 선동하는 돼명이
1780,헐~  - dc App
1781,====구글 Ebook - 5·18팩트 저장소 - 김대령TV- 인요한 선교사님 5·18 맞짱토론 신청합니다김대령TV....https://www.bookstore21.net/youtube/inyohan.htm
1782,Exactly
1783,변똥  - dc App
1784,ㅇㅇ 아직도 눈치 못깠으면 능지 의심해봐야
1785,정부지침대로 미세먼지 좋으면 파란색으로 한건데일단 싸지르고나면 마사지해주는 언론과 무지성으로 믿는 2혼진이 있으니까ㅋㅋㅋㅋ
1786,윤석열이 일본 퍼주느라 경제 폭망해도 진지하게 일본 방문(2찍들) 증가했다고 열변을 토하는 2찍 수준ㅋㅋ
1787,저거 완전 미친년이네 이재명이 저딴것들만 죄다 공천 했다는 얘기잖아....
1788,한동훈은 정신연령이 딱 지 둘째 아들 수준임. - dc App
1789,미세먼지라고 안하고 그냥 서울 1이라고 하면  당연히 오해 할만 하지안귀령 멍청한거 ㅋ
1790,맞는말임
1791,경제 다 망쳐놓고 의사들 건드려서 민영화하려고 하고 있음
1792,식당에 갈때마다 고물가로 열받는다. - dc App
1793,ㅇㅇ
1794,오히려 통과되었다면 총선 민주당도 안심 못했을듯 ㅋㅋ 근데 아주 지들이 자폭 자멸의 길로 가네 윤두창과 한뚜껑 국힘
1795,이번 총선은 한뚜껑 정계 은퇴 무대가 될것임
1796,그간 그렇게 특검주장하던 민주당이 역풍 두려워 부결시킨거
1797,ㅋㅋ 총선때 제대로 이거 심판당할거임
1798,지지율 백날 조작해도 소용없음 민심은 총선에서 드러남
1799,이제 윤석열과 한동훈은 마음놓고 윤핵관 검사들 공천하겠구만!
1800,검사공천하고 시끄러워지라는 민주당의 전략이지.  - dc App
1801,맞을걸 보험사들 주가오른거보면
1802,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1803,영화 시나리오 작가 했으면 대성했을듯 ㅋㅋㅋ
1804,ㅋㅋ  - dc App
1805,남조선북화통일혁명 혁명의대업이 완수되면 똥돼지네 전용 '1호도로'가 될 양평서울고속도로
1806,"====이법철 칼럼 6.25전야로 치닫는 '좌익시대'선운사의 학살 지옥도, 들어보셨나요?이법철 스님뉴데일리2011. 12. 4. — 선운사가 있는 도솔산의 참극禪雲寺(선운사, 전북 고창군 아산면 삼인리, 소재)는 백제시대 고승 黔丹禪師(검단선사)가 창건한 유서깊은 천년고찰이다. 또 선운사는 대한불교 조계종 소속으로 제24교구 본사이다. 禪雲寺의 主山(주산)은 도솔산이다. 선운사의 경내주변은 물론이요, 도솔산 처처에는 동백나무가 군락을 이루고 있어 동백꽃이 아름답고, 이미자의 ‘동백아가씨’ 구슬픈 노래가 항상 들리는, 관광객들이 즐겨 찾는 명승지다."
1807,해촉이후 처리된 모든건은 무효?
1808,청부 민원 역풍?
1809,그러게 누가 박정희당에 표를 주래?
1810,안진걸 사형  - dc App
1811,손혜원 그작자는 ~~~~송영길 이작자가~~ㅋㅋㅋ 들린다들려
1812,정상아니다
1813,ㅋㅋㅋㅋㅋ
1814,선당후사를 위해 총선에 열심히 지원하겠습니다 하면 당원들 맘을 돌 릴 수 있었을텐데...
1815,입틀막 의사 각도기 터졌다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1816,골 때리네 태세 전환 ㅋㅋㅋㅋㅋㅋ
1817,지랄도 풍년이요.  세상을 그간 얼마나 좆구멍속에서 살았으면 이런 머저리같은 생각을 떳떳하게 올려요?    나가 뒈져야 한다고 봐요
1818,이민 가라 - dc App
1819,맞말 부칸 지령받아 국방 안보 중요 기술 부칸으로 넘겨주고 한국은 서서히 공산화된다 전쟁 일어나면 찢제명은 부칸편에 설지도 모름 총선에서 민주당이 져도 소수의 간첩이 국회에 들어어면 한국이 위험해진다
1820,대가리 빈 틀딱들은 이런 거 어디서 줏어듣냐?
1821,이민 못가. 일베들 비누 되야됨  - dc App
1822,이런것들이 있으니 나라가 이모양 이꼴이지친일기득권에 나라 팔아먹은줄도 모르고
1823,"국민의힘, 민주당에 여론조사 4대 0 완승 ㅋㅋㅋㅋㅋㅋ"
1824,사람가축화 배급사료 기본소득제
1825,능지가 있을까 그런 이해를 할
1826,드뎌 시작이다
1827,윤석열 앞에 던져진 의료개혁.누구의 지시인가?
1828,윤쩌뚱의 문화대혁명
1829,ㅋㅋㅋ  - dc App
1830,홍석현 회장 믿고 깝치지만 어쨰 지도 총선 좃될거같은 느낌 서늘하게 다가오긴 할거야
1831,레전드노 ㅋㅋㅋ  - dc App
1832,팩폭 ㅋㅋㅋㅋㅋㅋ
1833,"""윤석열 검찰정권에 정치보복은 있어도 민생은 없다"""
1834,"행동도 행동이지만, 저 표정은 볼때마다 기괴하네ㅋㅋㅋㅋ"
1835,권력뽕에 취한 관종(주어없음) ㅋㅋㅋㅋ
1836,건국전쟁이 왜 친일인데?
1837,뇌있으면 친일을 왜빨아ㅋㅋ
1838,또 간첩이 건국전쟁 헛소문 퍼트렸나 봄
1839,ㅠㅠ..b 반박불가
1840,대한민국 vs 조선노예주의노비공화국
1841,이승만 박정희 추종하는 것들은  ..... 러시아 가면 푸틴을 빨놈들이지..ㅎㅎ
1842,팩트)정작 김일성 분향소를 차린 곳은 호남이다
1843,"좌빨들이 이승만, 박정희, 전두환에 발작하는 이유... 이 셋이 한반도 공산화 통일의 가능성을 영원히 날려버림..ㅋㅋㅋ"
1844,ㅋㅋㅋ전부 전멸하긋네 대구 경북만 제외하고
1845,좋아 좋아 분열해라 친윤놈들
1846,항간에 떠도는 소문대로 총선 어떻게 되든 관심 없고 자기들 공천만 중요하고 결국에는 이재명 정치 인생을 끊기 위해서 그러는 건가?
1847,공작이란다 ㅅㅂ입장료지
1848,건희 만날라면 입장료 내야한다는 반징이지
1849,홍카콜라 팩폭했네
1850,아주 경제를 개박살 개작살 내는중임
1851,외국애들이 검사 출신들 대통령으로 세우지 않는건 다 이유가 있는거지
1852,대기업재벌들이 나서서 윤씨탄핵할듯. - dc App
1853,미친독재자임
1854,의사샘들과 국민들 연합해야함
1855,변가ㄴ 또 이때다 싶어 나대는군?ㅋ 의대 증원 동결하겠다면 동결한다고 ㅈㄹ했을 ㅅㅋ ㅋ 윤통 하는거에는 걍 반대를 위한 반대하는 ㅅㅋ
1856,보이스 피싱 안잡고 패미로 한국 남자들만 뚜들겨패고 의사들만 족치려고하네 민영화하려고
1857,병신같은 소리하지마라. 미국행님이 시키는대로 하면서 국익 챙기는 대통령이 제일 위대한 대통령이다. 핵개발은 ㅆㅂ ㅋㅋ
1858,트럼프 뽑는건 잘하는일 바이든보단 훨낫지
1859,오늘 오후 6시에 윤하 대전 콘서트 함. 오고싶은 사람 오셈소식 알려주고 감오전 11시 이후에 살거면 현장판매에서 사면 되고그전에 살거면 온라인으로 사서 현장수령하면 됨  - dc App
1860,사방이 윤석열의 적이네 윤석열 누구 믿고 저렇게 깝치냐
1861,이쯤되면 아크로비스타 압색 가야 하는거 아닌가?
1862,거늬 슬슬 나오려다가 다시 쏙 들어가겠군ㅋㅋㅋㅋ
1863,이런데도 지지한다고?  이야 독하다 독해..
1864,외국회사 쪼끄마난 싸구려 디올 정도는 명품 축에도 못 끼잖아 샤넬 정도는 돼야
1865,양파네
1866,1찍 개딸 찢빠들이 윤석열 까는거보면 윤석열은 찐우파임 ㅋㅋㅋㅋㅋㅋㅋㅇㅈ???
1867,잡읍이 아니라 파열음이라 문제 없나?ㅋㅋㅋㅋㅋ
1868,진즉에 후쿠시마 바닷가 가서 바닷물이라도 쳐마시지 뭐하고 있다가 이제 나와서 이발 하시나요?
1869,귀틀막
1870,이나라에 언론이 있긴한가
1871,조국의 시간은 온다
1872,조국은 바로바로 고소하니 조심하시길!
1873,윤빠들 좆됐네
1874,이대표가 제외하겠자
1875,가상이라고 써놨는데. .이제 정치풍자도 못하게 하나?
1876,ㅋㅋㅋㅋㅋ
1877,국민들이라도 널리 퍼뜨려줘야지
1878,ㅋㅋㅋ  - dc App
1879,참 조용한 공천이네?ㅋㅋㅋㅋㅋ입틀막 공천ㅋㅋㅋㅋㅋㅋㅋㅋ
1880,좆같은 놈들
1881,역시 우리 국민들은 똑똑하다니까
1882,아싸
1883,경남도 민주당이 접수하자
1884,짜란다!
1885,조국의 반격 ㄷㄷㄷ
1886,조국이 기득권 편에 섰지 ㅋㅋㅋ 내각제파들 얼굴마담으로 세웠네
1887,ㅋㅋㅋ
1888,국민들이 민영화 수작 간파한듯
1889,ㅎㅎㅎ
1890,"盧 명예훼손 정진석·돈다발 가짜뉴스 장영하 등 단수공천..野 ""한동훈 소리만 요란한 깡통""https://www.amn.kr/47181"
1891,조폭 연관된거 맞자나  - dc App
1892,정치공작이였네
1893,윤석열 한동훈 둘다 반드시 빵에 쳐넣어라
1894,이럴땐 이준석이 참 이뻐 바른말은 한다니까
1895,ㅋㅋㅋ국민들 각성하겠네
1896,2찍이였는데 팽당햇네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1897,도도강 ㅋㅋ
